gap-size	sweep-join	skip-join-index	skip-join-list	skip-join-16c
run: 0
1	434	8540	103	183
2	404	4725	73	127
4	396	2764	67	90
8	394	1690	55	61
16	393	1134	44	73
32	418	826	41	78
64	394	534	44	80
128	398	335	49	80
256	376	230	43	75
512	374	115	42	144
1024	377	68	41	91
2048	382	39	41	43
4096	385	23	40	25
8192	382	13	40	16
16384	388	7	70	9
32768	380	4	41	4
65536	377	2	39	2
131072	371	1	40	1
262144	375	0	40	0
524288	376	0	40	0
1048576	375	0	48	0
run: 1
1	418	8347	104	167
2	404	4655	73	126
4	396	2743	67	90
8	393	1696	54	61
16	390	1087	44	72
32	413	781	41	79
64	393	501	45	79
128	389	327	48	81
256	377	195	43	74
512	373	116	42	122
1024	376	68	41	70
2048	384	40	41	41
4096	383	23	40	23
8192	382	13	40	13
16384	382	6	40	7
32768	380	4	40	4
65536	375	2	40	2
131072	368	1	40	1
262144	371	0	42	0
524288	377	0	40	0
1048576	375	0	40	0
run: 2
1	418	8334	104	165
2	404	4661	74	129
4	396	2742	67	90
8	394	1690	55	62
16	391	1060	44	72
32	413	781	41	75
64	394	504	44	80
128	389	324	49	80
256	377	195	43	74
512	374	115	42	122
1024	374	68	42	70
2048	383	40	41	41
4096	384	23	40	23
8192	380	13	40	13
16384	381	6	40	7
32768	380	4	39	4
65536	372	2	39	2
131072	371	1	40	1
262144	373	0	40	0
524288	374	0	39	0
1048576	373	0	39	0
