size	vector	multiset	multiset*	stab-forest
run: 0
5000000	46	1421	346	359
10000000	98	3570	691	724
15000000	117	5743	928	948
20000000	97	7539	1237	1289
25000000	107	9481	1549	1620
30000000	116	11541	1856	1952
35000000	170	13592	2166	2322
40000000	180	15662	2478	2640
45000000	189	17747	2788	2990
50000000	198	19880	3101	3339
55000000	209	22032	3410	3689
60000000	218	24180	3717	4051
61100539	221	24666	3795	4135
run: 1
5000000	25	1656	309	313
10000000	49	3775	620	631
15000000	58	5626	928	946
20000000	97	7545	1238	1288
25000000	106	9440	1548	1617
30000000	116	11523	1856	1952
35000000	170	13594	2166	2318
40000000	180	15610	2476	2645
45000000	190	17724	2786	2982
50000000	199	19831	3103	3332
55000000	209	21985	3406	3697
60000000	218	24178	3713	4047
61100539	221	24643	3787	4117
run: 2
5000000	25	1644	308	313
10000000	49	3774	618	630
15000000	58	5607	929	952
20000000	97	7557	1237	1287
25000000	106	9462	1553	1625
30000000	116	11536	1856	1958
35000000	170	13539	2165	2316
40000000	180	15619	2476	2642
45000000	189	17711	2784	2992
50000000	200	19856	3095	3347
55000000	210	22029	3407	3688
60000000	217	24166	3726	4040
61100539	220	24674	3780	4124
