numperiods	sweep-join	skip-join-list	skip-join-16c	multi-window
run: 0
0	0	0	0	0
12	28	10	5	2
24	49	18	10	4
36	71	28	16	6
48	89	39	18	7
60	115	48	28	11
72	131	54	31	12
84	150	60	33	13
96	166	66	35	14
108	182	71	38	14
120	199	76	40	15
run: 1
0	0	0	0	0
12	28	10	5	2
24	49	18	10	4
36	71	29	16	6
48	89	34	19	7
60	114	48	28	12
72	132	54	31	12
84	149	60	33	13
96	164	65	38	14
108	181	71	37	14
120	197	77	39	15
run: 2
0	0	0	0	0
12	28	9	5	2
24	49	19	10	4
36	71	28	16	6
48	89	34	18	7
60	114	48	29	12
72	131	54	31	12
84	149	60	33	13
96	165	65	35	14
108	181	71	38	14
120	198	77	40	15
