size	sweep-join	skip-join-list	skip-join-16c
run: 0
0	0	0	0
125000	236	236	237
250000	458	460	455
375000	536	542	548
500000	893	901	891
625000	982	977	987
750000	1059	1070	1068
875000	1149	1142	1144
1000000	1698	1706	1782
1125000	1841	1853	1848
1250000	1852	1949	1930
run: 1
0	0	0	0
125000	213	218	217
250000	427	432	431
375000	516	518	515
500000	880	890	882
625000	976	969	978
750000	1058	1057	1060
875000	1142	1148	1138
1000000	1769	1783	1767
1125000	1823	1839	1847
1250000	1921	1935	1930
run: 2
0	0	0	0
125000	214	215	216
250000	426	428	428
375000	512	514	511
500000	853	861	863
625000	955	961	958
750000	1052	1058	1051
875000	1138	1141	1138
1000000	1768	1767	1761
1125000	1839	1835	1832
1250000	1930	1912	1928
