size	sweep-join	skip-join-list	skip-join-16c
run: 0
0	0	0	0
3107	15	15	16
6214	32	32	32
9321	56	56	56
12428	66	66	66
15535	107	106	105
18642	116	116	116
21749	126	126	126
24856	136	139	135
27963	204	204	204
31071	213	213	213
run: 1
0	0	0	0
3107	15	15	15
6214	32	32	32
9321	57	57	57
12428	66	67	66
15535	107	107	106
18642	116	116	117
21749	126	127	126
24856	137	137	136
27963	203	204	204
31071	213	213	213
run: 2
0	0	0	0
3107	15	15	15
6214	32	32	32
9321	57	57	57
12428	66	67	66
15535	107	107	106
18642	116	117	116
21749	126	127	126
24856	137	137	135
27963	203	206	204
31071	212	212	212
